FileType,OuDiaSecond.JikokuhyouCsv.2
時刻表
上り

列車番号,,1002,102,1004,104,1006,106,1008,3002,108,1010,2002,4002,3004,110,1012,2004,7002,3006,112,1014,2006,7004,3008,114,1016,2008,7006,3010,116,1018,2010,7008,3012,118,1020,2012,7010,3014,120,1022,2014,7012,3016,122,1024,2016,7014,3018,124,1026,2018,7016,3020,126,1028,2020,3022,128,1030,2022,3024,130,1032,2024,3026,132,1034,2026,3028,134,1036,2028,3030,136,1038,2030,3032,138,1040,2032,3034,140,1042,2034,3036,142,1044,2036,3038,144,1046,2038,3040,146,1048,2040,3042,148,1050,2042,3044,150,1052,2044,3046,152,1054,2046,3048,154,1056,2048,3050,156,1058,2050,3052,158,1060,2052,3054,160,1062,2054,3056,162,1064,2056,3058,164,1066,2058,3060,166,1068,2060,3062,168,1070,2062,3064,170,1072,2064,3066,172,1074,2066,3068,174,1076,2068,3070,176,1078,2070,3072,178,1080,2072,3074,180,1082,2074,3076,182,1084,2076,3078,184,1086,2078,3080,186,1088,2080,3082,188,1090,2082,3084,190,1092,2084,3086,192,1094,2086,7018,3088,194,1096,2088,7020,3090,196,1098,2090,7022,3092,198,1100,2092,7024,3094,200,1102,2094,7026,3096,202,1104,2096,7028,3098,204,1106,2098,7030,3100,206,1108,2100,7032,3102,208,1110,2102,3104,210,1112,2104,3106,212,1114,2106,3108,214,1116,2108,3110,216,1118,2110,3112,218,1120,2112,3114,220,1122,2114,3116,222,1124,2116,3118,224,1126,2118,3120,226,1128,2120,3122,228,1130,2122,3124,230,1132,9060,9040,232,1134,9062,9042,234,1136,9064,9044,236,1138,238,1140,240,1142,242,1144,244,1146,246,1148,9058,9046,9048,9050,9052,9054,9056,1150,248,1152,5002,5004,5006,5008,5010,5012,5014,5016,5018,5020,5022,5024,5026,5028,5030,5032,5034,5036,5038,5040,5042,5044,5046,5048,5050,5052,5054,5056,5058,5060,5062,5064,5066,5068,5070,5072,5074,5076,5078,5080,5082,5084,5086,5088,5090,5092,5094,5096,5098,5100,5102,5104,5106,5108,5110,5112,5114,5118,5120,5122,5124,5126,5128,5130,5132,5134,5136,5138,5140,5142,5144,5146,5148,5150,5152,5154,5156,5158,5160,5162,5164,5166,5168,5170,5172,5174,5176,5178,9002,9004,9006,9008,9010,9012,9014,9016,9018,9020,9022,9024,9026,9028,9030,9032,9034,9036,9038,9066,9068,9070
運用番号,,C14,E04,C15,E05,C17,E07,C19,C20,E06,C51/C12,C21,C56,C56,E03,C18,C22,C55,C23,E01,C16,C02,C52,C04,E02,C13,C05,C53,C07,E04,C12/C51,C8,C54,C10,E05,C01,C51/C12,C15,C11,E07,C14,C18,C17,C55,E06,C03,C16,C19,C52,E03,C06,C13,C20,C53,E01,C09,C12/C51,C54,E02,C21,C10,C15,E04,C22,C14,C17,E05,C02,C55,C19,E07,C05,C52,C20,E06,C07,C53,C12/C51,E03,C8,C54,C10,E01,C01,C15,C14,E02,C18,C17,C55,E04,C16,C19,C52,E05,C13,C20,C53,E07,C09,C12/C51,C54,E06,C21,C10,C15,E03,C22,C14,C17,E01,C02,C55,C19,E02,C05,C52,C20,E04,C07,C53,C12/C51,E05,C8,C54,C10,E07,C01,C15,C14,E06,C18,C17,C55,E03,C16,C19,C52,E01,C13,C20,C53,E02,C09,C12/C51,C54,E04,C21,C10,C15,E05,C22,C14,C17,E07,C02,C55,C19,E06,C05,C52,C20,E03,C07,C53,C12/C51,E01,C8,C54,C10,E02,C01,C15,C14,E04,C18,C17,C55,E05,C16,C19,C52,E07,C13,C20,C53,E06,C09,C12/C51,C22,C54,E03,C21,C10,C04,C15,E01,C02,C18,C05,C03,E02,C56,C55,C23,C11,E04,C07,C13,C20,C51/C12,E05,C8,C53,C14,C22,E07,C01,C21,C16,C04,E06,C17,C15,C52,C05,E03,C19,C03,C23,E01,C20,C11,C20,E02,C09,C51/C12,C14,E04,C10,C22,C16,E05,C02,C04,C52,E07,C18,C05,C03,E06,C07,C23,C11,E03,C13,C20,C51/C12,E01,C53,C14,C22,E02,C01,C16,C04,E04,C15,C52,C05,E05,C19,C03,C23,E07,C20,C11,C20,E06,C09,C51/C12,C14,E03,C10,E01,C02,E02,C18,E04,C07,E05,C13,E07,C16,E03,C15,E06,E01,C10,C09,C05,C15,E06,C05,C51/C12,C18,C16,C55,C13,C52,C12/C51,C53,C01,C54,C14,C15,C03,C17,C06,C19,C09,C20,C21,C22,C02,C05,C07,C8,C01,C18,C16,C13,C09,C21,C22,C02,C05,C07,C8,C01,C18,C16,C13,C09,C21,C22,C02,C05,C07,C8,C01,C18,C16,C13,C09,C21,C22,C02,C04,C56,C05,C07,C23,C8,C20,C01,C14,C17,C16,C19,C52,C20,C09,C10,C02,C18,C07,C13,C53,C01,C15,C19,C20,C09,C10,C02,C18,C07,C13,C16,C15,C05,C02,C03,C04,C05,C06,C07,C8,C09,C10,C11,C03,C11,C51/C12,C18,C13,C02,E02,E07,C16,E01,C01,E02
列車種別,,普通,快速,普通,快速,普通,快速,普通,普通,快速,普通,普通,回送,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,通勤,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,回送,回送,快速,普通,回送,回送,快速,普通,回送,回送,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,普通,回送,回送,回送,回送,回送,回送,回送,普通,快速,普通,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,飛,飛,公,機,機,綾,紫,公,綾,全,公,京車,全,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,全,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,公,公,綾,全,綾,全,綾,全,綾,全,綾,全,綾,全,綾,機,機,機,機,紫,紫,全,綾,全,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,港,港,飛,飛,飛,飛,飛車,飛車,飛車
始発駅作業,,,,,,,,,,,,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,,出区,,出区,,出区,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,出区,,,出区,,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,出区,出区,出区,出区,出区,出区,出区,出区,出区,出区,出区,出区,,,,,,,出区,出区,出区
,,,,,,,,,,,,, 61430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 60355,,, 63720,, 65220,, 70720,, 72220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170720,171755,,,173720,,175220,,,,,,,,,,,,,,,,,,,,,,,,,,,, 62500, 63145, 63645, 63900, 64620, 65145, 65345, 70145, 70445, 71945,170445,171945,173445,,,,,,, 55445, 60145, 60945
,,,,,,,,,,,,,C56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C51/C12,,,C55,,C52,,C53,,C54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C04,C56,,,C23,,C20,,,,,,,,,,,,,,,,,,,,,,,,,,,,C02,C03,C04,C05,C06,C07,C8,C09,C10,C11,C03,C11,C51/C12,,,,,,,E01,C01,E02
終着駅,,工,工,工,工,工,工,工,工,工,工,工,全,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,飛車,飛車,工,工,飛車,飛車,工,工,飛車,飛車,工,工,工,工,工,工,工,工,工,港,飛,飛,飛車,飛車,飛車,飛車,飛車,飛車,飛車,機,機,紫,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,工,工,工,工,工,工,工,工,工,工,工,工,工,飛車,飛車,飛車,飛車,飛車,飛車,工,工,工
