FileType,OuDiaSecond.JikokuhyouCsv.2
時刻表
下り

列車番号,,105,1009,107,1011,109,2001,7001,1013,3001,111,2003,7003,1015,3003,113,2005,7005,1017,3005,115,2007,7007,1019,3007,117,2009,7009,1021,3009,119,2011,7011,1023,3011,121,2013,7013,1025,3013,123,2015,7015,1027,3015,125,2017,1029,9001,3017,127,2019,1031,9003,3019,129,2021,1033,9005,3021,131,2023,1035,9007,3023,133,2025,1037,3025,135,2027,1039,3027,137,2029,1041,3029,139,2031,1043,3031,141,2033,1045,3033,143,2035,1047,3035,145,2037,1049,3037,147,2039,1051,3039,149,2041,1053,3041,151,2043,1055,3043,153,2045,1057,3045,155,2047,1059,3047,157,2049,1061,3049,159,2051,1063,3051,161,2053,1065,3053,163,2055,1067,3055,165,2057,1069,3057,167,2059,1071,3059,169,2061,1073,3061,171,2063,1075,3063,173,2065,1077,3065,175,2067,1079,3067,177,2069,1081,3069,179,2071,1083,3071,181,2073,1085,3073,183,2075,1087,3075,185,2077,1089,3077,187,2079,1091,3079,189,2081,1093,3081,191,2083,1095,3083,193,2085,7017,1097,3085,195,2087,7019,1099,3087,197,2089,7021,1101,3089,199,2091,7023,1103,3091,201,2093,7025,1105,3093,203,2095,7027,1107,3095,205,2097,7029,1109,3097,207,2099,7031,1111,3099,209,2101,9045,1113,3101,211,2103,1115,9047,3103,213,2105,9049,1117,3105,215,2107,1119,3107,217,2109,1121,3109,219,2111,1123,3111,221,2113,1125,3113,223,2115,1127,3115,225,2117,1129,3117,227,2119,1131,3119,229,2121,1133,3121,231,2123,1135,3123,233,9051,9053,1137,235,9055,1139,1141,237,9059,1143,239,1145,241,1147,243,1149,245,1151,247,9061,1153,9063,9065,1001,1003,1005,1007,101,103,9043,4001,9037,9035,9033,9031,9039,9041,5001,5003,5005,5007,5009,5011,5013,5015,5017,5019,5021,5023,5025,5027,5029,5031,5033,5035,5037,5039,5041,5043,5045,5047,5049,5051,5053,5055,5057,5059,5061,5063,5065,5067,5069,5071,5073,5075,5077,5079,5081,5083,5085,5087,5089,5091,5093,5095,5097,5099,5101,5103,5105,5107,5109,5111,5113,5115,5117,5119,5121,5123,5125,5127,5129,5131,5133,5135,5137,5139,5141,5143,5145,5147,5149,5151,5153,5155,5157,5159,5161,5163,5165,5167,5169,5171,5173,5175,9009,9011,9013,9015,9017,9019,9021,9023,9025,9027
運用番号,,E01,C01,E02,C14,E04,C02,C15,C03,C04,E05,C05,C17,C06,C07,E07,C8,C19,C09,C10,E06,C51/C12,C20,C21,C11,E03,C18,C56,C22,C55,E01,C16,C23,C02,C52,E02,C13,C04,C05,C53,E04,C12/C51,C07,C8,C54,E05,C10,C01,C51/C12,C15,E07,C14,C18,C11,C17,E06,C55,C16,C03,C19,E03,C52,C13,C06,C20,E01,C53,C09,C12/C51,E02,C54,C21,C10,E04,C15,C22,C14,E05,C17,C02,C55,E07,C19,C05,C52,E06,C20,C07,C53,E03,C12/C51,C8,C54,E01,C10,C01,C15,E02,C14,C18,C17,E04,C55,C16,C19,E05,C52,C13,C20,E07,C53,C09,C12/C51,E06,C54,C21,C10,E03,C15,C22,C14,E01,C17,C02,C55,E02,C19,C05,C52,E04,C20,C07,C53,E05,C12/C51,C8,C54,E07,C10,C01,C15,E06,C14,C18,C17,E03,C55,C16,C19,E01,C52,C13,C20,E02,C53,C09,C12/C51,E04,C54,C21,C10,E05,C15,C22,C14,E07,C17,C02,C55,E06,C19,C05,C52,E03,C20,C07,C53,E01,C12/C51,C8,C54,E02,C10,C01,C15,E04,C18,C14,C17,C03,E05,C55,C16,C19,C11,E07,C13,C52,C20,C51/C12,E06,C53,C09,C12/C51,C22,E03,C21,C54,C10,C04,E01,C15,C02,C18,C05,E02,C03,C56,C55,C23,E04,C11,C07,C13,C20,E05,C51/C12,C8,C53,C14,E07,C22,C01,C21,C16,E06,C04,C17,C15,C52,E03,C05,C19,C03,E01,C23,C20,C11,E02,C20,C09,C51/C12,E04,C14,C10,C22,E05,C16,C02,C04,E07,C52,C18,C05,E06,C03,C07,C23,E03,C11,C13,C20,E01,C51/C12,C53,C14,E02,C22,C01,C16,E04,C04,C15,C52,E05,C19,C05,E07,C20,E06,C09,E03,C10,E01,C02,E02,E04,C18,C07,E05,C18,C16,C13,C12/C51,E06,E03,E07,C52,E06,E05,C17,C16,C18,C19,C18,C16,C13,C12/C51,C01,C14,C03,C06,C09,C21,C22,C02,C05,C8,C01,C18,C16,C13,C09,C21,C22,C02,C05,C07,C8,C01,C18,C16,C13,C09,C21,C22,C02,C05,C07,C8,C01,C18,C16,C13,C09,C21,C22,C02,C05,C07,C8,C01,C17,C19,C20,C12/C51,C10,C18,C55,C13,C53,C01,C15,C19,C20,C09,C10,C02,C18,C07,C13,C53,C16,C15,C05,C20,C19,C20,C56,C23,C04,C07,C15,C17,C14,C16,C52,C09,C54,C02,C56,C07,C12/C51,C13,C14,E03,E04,C15,C20,C21,C22,C23
列車種別,,快速,普通,快速,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,普通,回送,普通,快速,普通,普通,回送,普通,快速,普通,普通,回送,普通,快速,普通,普通,回送,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,通勤,普通,普通,快速,普通,回送,普通,普通,快速,普通,普通,回送,普通,快速,普通,回送,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,普通,普通,普通,快速,回送,回送,普通,快速,回送,普通,普通,快速,回送,普通,快速,普通,快速,普通,快速,普通,快速,普通,快速,回送,普通,回送,回送,普通,普通,普通,普通,快速,快速,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送,回送
列車名,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
号数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終着駅,,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,工,紫,機,飛,港,機,飛,飛車,全,飛車,飛車,飛車,飛車,飛車,飛車,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,全,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車,飛車
始発駅作業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,,出区,出区,出区,出区,出区,出区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,出区,出区,出区,出区,出区,出区,出区,出区,出区,出区
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 50900,, 51800, 52100, 52400, 52700, 51500, 51200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 55300, 53300, 53600, 54100, 54400, 53000, 55700, 60400, 61900, 62700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E07,,E06,E05,C17,C16,C18,C19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C12/C51,C13,C14,E03,E04,C15,C20,C21,C22,C23
終着駅,,綾,全,綾,全,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,飛車,公,綾,公,全,飛車,公,綾,公,全,飛車,公,綾,公,全,飛車,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,全,全,公,綾,公,飛車,全,公,綾,公,全,飛車,公,綾,公,飛車,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,公,全,公,綾,飛車,飛車,全,綾,飛車,全,全,綾,飛車,全,綾,全,綾,紫,綾,機,機,飛,飛,飛車,港,飛車,飛車,全,全,全,全,綾,綾,綾,京車,機,機,機,機,紫,紫,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,京車,港,飛,飛,飛,飛,公,公,公,公,公
